aborigine
micronesia
middleeastern
midland
midwest
midwestern
migrant
milanese
minnesotan
minoan
mississippian
missourian
mixed
moldova
monacan
monaco
monegasque
mongol
mongolia
mongolian
mongoloid
montanan
montenegro
morocco
motherland
mozambique
multiethnic
multiethnic
multiracial
municipality
myanmar
namibia
nation
national
nationality
native
nativealaskan
nativeamerican
nativehawaiian
nauru
nauruan
nazarene
nazigermany
neapolitan
nebraskan
nederland
neopolitan
nepal
nepalese
nepali
netherlander
netherlands
nevadan
newjerseyan
newyorker
newzealand
newzealander
nicaragua
nicaraguan
niger
nigeria
nip
nipponese
nisei
norman
norse
norseman
north
northamerica
northamerican
northcarolinian
northkorea
northern
northman
norway
norwegian
novascotian
occidental
occupancy
occupant
occupation
occupier
occupy
ohioan
oklahoman
oman
oregonian
oriya
osmanli
ottoman
ottomanturk
outlier
oxonian
pacificislander
paddy
pakistan
pakistani
palatine
palau
palestine
panama
panamanian
panjabi
papuan
paraguay
paraguayan
parisian
parisienne
parthian
pashtoon
pashtun
pastoral
pasture
pastureland
pathan
pennsylvanian
persian
peru
peruvian
peshmerga
philippian
philippine
philistine
phrygian
plainsman
polack
poland
pole
polynesian
pom
pommy
populate
portugal
portuguese
power
prefecture
preserve
province
prussian
puertorican
punjabi
pushtun
qatar
quebecois
quechua
quechuan
rajpoot
rajput
reb
rebel
redneck
refugee
reich
respublica
reservation
reserve
reserve
reside
resident
rhodeislander
roma
roman
romani
romania
romanian
romanic
romany
rumanian
rural
russia
rwanda
saami
sabahan
sabine
sabra
sahib
saintlucia
salian
salvadoran
salvadorean
salvadorian
samaritan
same
sami
samoa
samoan
sanmarinese
sanmarino
sarawakian
sardinian
sassenach
saudiarabia
savara
savoyard
saxon
scandinavian
schweiz
scot
scotchman
scotsman
scotswoman
scouser
scrubland
scupper
seapower
senegal
serb
serbia
serbian
seychelles
shack
sherpa
shire
shogun
shudra
siamese
sicilian
sierraleone
sindhi
singapore
singaporean
singhalese
sinhalese
slav
slavic
slavonic
slovak
slovakia
slovene
slovenia
slovenian
smarta
sojourn
sojourner
somalia
sooner
sorbian
south
southafrica
southcarolinian
southdakotan
southkorea
southkorean
southeastasian
southern
sovietunion
spain
spaniard
spanish
spartan
spic
spick
spik
square
srilanka
srilankan
state
stater
subject
suburb
suburban
suburbanite
sudan
sudra
suisse
sultanate
sumatran
superpower
suriname
suzerain
svizzera
swaziland
swede
sweden
swedish
swiss
swisscanton
switzerland
syria
syrian
taco
tahitian
tai
taiwan
taiwanese
tajik
tajikistan
tamil
tanzania
tarahumara
tarheel
tartar
tatar
tellurian
telugu
tenancy
tenant
tennessean
teuton
texan
thai
thailand
theban
thirdreich
thracian
tibetan
timorleste
timorese
tobagonian
toda
togo
tonga
tongan
tory
tourist
town
towner
townie
township
townsman
trinidadian
trojan
tulu
tunisia
tupi
turcoman
turk
turkey
turki
turkmen
turkmenistan
turkoman
tuscan
tuvalu
tyke
tyrolean
us
usa
uganda
uighur
uigur
uk
ukraine
ukranian
undocumented
union
unitedkingdom
unitedstates
uptown
urban
uruguay
uruguayan
us
usa
ussr
utahan
uygur
uzbek
uzbekistan
vanuatu
vatican
venetian
venezuela
venezuelan
vermonter
vietnam
vietnamese
viking
villager
virginian
visigoth
volunteer
walloon
ward
washingtonian
waylay
weald
welsh
welshman
west
westvirginian
western
wetback
whig
wisconsinite
wold
wolverine
wop
world
wyomingite
yakut
yank
yankee
yemen
yugoslav
yugoslavian
zambia
zealander
zimbabwe
